Timestamp,Message Type
2023-12-08T16:00:56.388-05:00,A08 (Update Patient Information)
2023-12-08T15:43:47.358-05:00,A01 (Admit)
2023-12-08T17:11:47.608-05:00,A05 (Pre-admit)
2023-12-08T16:12:07.073-05:00,A01 (Admit)
2023-12-08T16:15:53.978-05:00,A01 (Admit)
2023-12-08T17:16:47.827-05:00,A01 (Admit)
2023-12-08T15:52:05.435-05:00,A08 (Update Patient Information)
2023-12-08T15:52:07.036-05:00,A08 (Update Patient Information)
2023-12-08T18:27:39.878-05:00,A03 (Discharge)
2023-11-21T16:04:27.27-05:00,A08 (Update Patient Information)
2023-11-19T04:12:46.14-05:00,A08 (Update Patient Information)
2023-12-01T14:36:43.825-05:00,A01 (Admit)
2023-12-01T11:31:19.32-05:00,A08 (Update Patient Information)
2023-12-01T21:13:58.932-05:00,A08 (Update Patient Information)
2023-11-16T19:43:48.312-05:00,A08 (Update Patient Information)
2023-11-16T01:43:16.41-05:00,A02 (Transfer a Patient)
2023-11-16T13:06:18.19-05:00,A08 (Update Patient Information)
2023-12-14T17:48:54.429-05:00,A08 (Update Patient Information)
2023-11-20T10:32:24.579-05:00,A08 (Update Patient Information)
2023-11-29T11:31:33.41-05:00,A08 (Update Patient Information)
2023-11-20T18:23:22.336-05:00,A08 (Update Patient Information)
2023-11-22T09:17:57.761-05:00,A08 (Update Patient Information)
2023-12-15T10:20:21.465-05:00,A08 (Update Patient Information)
2023-12-07T08:49:29.757-05:00,A08 (Update Patient Information)
2023-11-29T14:03:36.068-05:00,A08 (Update Patient Information)
2023-12-12T23:25:16.114-05:00,A02 (Transfer a Patient)
2023-12-15T12:09:00.268-05:00,A08 (Update Patient Information)
2023-12-15T13:06:41.47-05:00,A08 (Update Patient Information)
2023-12-18T19:27:36.223-05:00,A02 (Transfer a Patient)
2023-12-15T12:03:58.032-05:00,A08 (Update Patient Information)
2023-12-15T12:20:43.651-05:00,A08 (Update Patient Information)
2023-12-19T11:13:04.53-05:00,A08 (Update Patient Information)
2023-12-18T08:19:06.224-05:00,A08 (Update Patient Information)
2023-12-18T14:55:44.675-05:00,A03 (Discharge)
2023-12-15T16:53:27.39-05:00,A08 (Update Patient Information)
2023-12-19T07:55:46.663-05:00,A08 (Update Patient Information)
2023-12-15T11:15:09.918-05:00,A01 (Admit)
2023-12-18T09:18:57.709-05:00,A08 (Update Patient Information)
2023-12-15T11:37:23.061-05:00,A08 (Update Patient Information)
2023-12-16T12:52:17.226-05:00,A13 (Cancel Discharge)
2023-12-19T11:21:08.283-05:00,A08 (Update Patient Information)
2023-12-19T09:25:10.96-05:00,A08 (Update Patient Information)
2023-12-18T09:21:14.965-05:00,A08 (Update Patient Information)
2023-12-15T15:08:03.619-05:00,A03 (Discharge)
2023-12-18T10:20:15.108-05:00,A11 (Cancel Admit)
2023-12-15T11:41:54.872-05:00,A03 (Discharge)
2023-12-19T11:16:55.793-05:00,A08 (Update Patient Information)
2023-12-15T15:46:28.064-05:00,A05 (Pre-admit)
2023-12-19T10:51:03.322-05:00,A08 (Update Patient Information)
2023-12-16T23:31:33.918-05:00,A01 (Admit)
2023-12-15T12:13:57.633-05:00,A08 (Update Patient Information)
